2d	..----..
psg	.--....--.
psig	.--......--.
psp	.--.....--.
pstn	.--....--.
ptn	.--.--.
ptp	.--.-.--.
pulp	.--...-.-...--.
pun	.--...--.
pvn	.--....--.
pye	.--.-.--.
qat	--.-.--
qkt	--.--.--
qsy	--.-...-.--
qt	--.--
qty	--.---.--
quandy	--.-..-.--.-..-.--
quat	--.-..-.--
queenly	--.-..-..-..-..-.--
quem	--.-..-.--
quilly	--.-..-...-...-..-.--
quirkily	--.-..-...-.-.-...-..-.--
quitely	--.-..-..-..-..-.--
qy	--.--.--
r	.-.
raaf	.-..-.-..-.
rae	.-..-.
raf	.-..-..-.
ragen	.-..---..-.
rain	.-..-..-.
ramer	.-..---..-.
ramin	.-..---..-.
rammer	.-..-----..-.
raphaelesque	.-..-.--......-..-......--.-..-.
rapter	.-..-.--.-..-.
raster	.-..-...-..-.
rateen	.-..--..-.
rater	.-..--..-.
ratite	.-..--..-.
ratteen	.-..---..-.
ratter	.-..---..-.
raver	.-..-...-..-.
ravin	.-..-...-..-.
rbc	.-.-...-.-.
rbhc	.-.-.......-.-.
rc	.-.-.-.
rcc	.-.-.-.-.-.
rcn	.-.-.-.-.
rdc	.-.-..-.-.
reagin	.-...---...-.
rearer	.-...-.-...-.
reave	.-...-...-.
recenter	.-..-.-..-.-..-.
reeden	.-...-...-.
reef	.-.....-.
reefier	.-.....-.....-.
reeher	.-.........-.
reeler	.-....-....-.
reen	.-...-.
reeve	.-......-.
ref	.-....-.
reflexiue	.-....-..-...-..-....-.
regen	.-..--..-.
reggae	.-..--.--..-.
regr	.-..--..-.
regrater	.-..--..-..--..-.
regretter	.-..--..-..--..-.
rehete	.-.......-.
reider	.-....-....-.
reif	.-......-.
rein	.-....-.
reindue	.-....-.-....-.
reiser	.-.........-.
reissue	.-............-.
reive	.-.......-.
reliefer	.-...-.......-...-.
reliner	.-...-....-...-.
remer	.-..--..-.
remitter	.-..--..--..-.
remmer	.-..----..-.
remoter	.-..------..-.
remue	.-..--..-.
ren	.-..-.
renae	.-..-..-.
renter	.-..-.-..-.
repin	.-...--...-.
repledger	.-...--..-...-..--...-.
researcher	.-.......-.-.-.-.......-.
reseen	.-.......-.
reseiser	.-.............-.
resin	.-.......-.
resite	.-.......-.
reste	.-.....-.
restive	.-.....-.....-.
resue	.-.......-.
retain	.-..-.-..-.
retaker	.-..-.--.-..-.
rete	.-..-.
retin	.-..-..-.
retinae	.-..-..-..-.
retter	.-..--..-.
reuben	.-....--....-.
reve	.-.....-.
revive	.-.....-.....-.
rewhisper	.-...--..........--...-.
rewove	.-...-----...-.
rexer	.-..-..-..-.
rf	.-...-.
rheae	.-.......-.
rheen	.-.......-.
rhein	.-........-.
ricer	.-...-.-...-.
ricin	.-...-.-...-.
ridden	.-...-..-...-.
riden	.-...-...-.
rier	.-.....-.
rif	.-.....-.
rifleite	.-.....-..-.....-.
rigger	.-...--.--...-.
riggite	.-...--.--...-.
rin	.-...-.
riner	.-...-...-.
rinner	.-...-.-...-.
risen	.-.......-.
riser	.-........-.
risser	.-...........-.
rite	.-...-.
ritner	.-...--...-.
rive	.-......-.
rmc	.-.---.-.
rmr	.-.--.-.
rn	.-.-.
rngc	.-.-.--.-.-.
rnvr	.-.-....-.-.
roc	.-.----.-.
rocketor	.-.----.-.-.-.----.-.
roke	.-.----.-.
romayor	.-.-----.--.-----.-.
ronn	.-.----.-.
rooke	.-.-------.-.
rotc	.-.-----.-.
rotor	.-.-------.-.
rotten	.-.-----.-.
rr	.-..-.
rsn	.-....-.
rsr	.-.....-.
rtc	.-.--.-.
rte	.-.-.
rtr	.-.-.-.
rudiger	.-...--....--...-.
rue	.-...-.
ruff	.-...-..-...-.
ruiner	.-...-..-...-.
runer	.-...--...-.
runite	.-...--...-.
rutger	.-...----...-.
ruttger	.-...-----...-.
s	...
sabe	....--....
sabzi	....--...--....
sadi	....--....
sags	....---....
sah	....-....
saidee	....-..-....
saidi	....-..-....
saimins	....-..--..-....
sains	....-..-....
saith	....-..-....
sali	....-.-....
salterns	....-.-..-..-.-....
samh	....---....
sammons	....---------....
sangei	....--.--....
sannups	....--.-...-.--....
sans	....--....
sarsars	....-.-.....-.-....
sase	....-....
sasins	....-.....-....
satangs	....--.--.--....
sates	....--....
satiates	....--...--....
satraps	....--.-..-.--....
saturates	....--..-.-..--....
sauers	....-..-..-....
savarins	....-...-.-.-...-....
saves	....-...-....
sawah	....-.--.-....
sb	...-...
sbus	...-.....-...
scale	...-.-..-.-...
scb	...-.-.-...
scents	...-.-..-.-...
schule	...-.-.......-.-...
sci	...-.-...
scotale	...-.-.----.-.-...
scts	...-.-.-...
sdb	...-..-...
se	....
seabee	.....--.....
sealch	.....-.-..-.-.....
seals	.....-.-.....
search	.....-.-.-.-.....
seathe	.....--.....
secerns	....-.-...-.-....
secpars	....-.-..--..-.-....
secs	....-.-....
seculars	....-.-...-.-...-.-....
seders	....-....-....
see	.....
seech	.....-.-.....
seeds	.....-.....
sees	........
seesee	..........
seethe	.....-.....
seferis	......-...-......
segs	....--....
sei	......
seiche	......-.-......
seis	.........
seise	..........
seises	.............
seizes	......--......
sekondi	....-.-----.-....
selie	.....-.....
sellie	.....-...-.....
sells	.....-...-.....
sels	.....-.....
semangs	....--.--.--....
sememes	....--.--....
semes	....--....
semmes	....----....
sendee	....-.-....
senors	....-.---.-....
serais	.....-..-.....
serenes	.....-..-.....
seres	.....-.....
serines	.....-...-.....
ses	.......
sess	..........
seth	....-....
setons	....-----....
setose	....----....
settlings	....--.-....-.--....
seuss	......-......
sevenths	.......-.-.-.......
severies	.......-..-.......
sexes	....-..-....
sgi	...--...
sh	.......
she	........
shee	.........
sheenless	.........-..-.........
sheepish	..........--..........
sheetless	.........-.-.........
shelterless	.........-..-..-..-.........
shes	...........
shh	...........
shi	.........
shieh	..............
shies	.............
shih	.............
shii	...........
shineless	.........-...-.........
shish	................
shrimpiness	........-...--.--...-........
si	.....
siamoise	......------......
sicarii	.....-.-..-.-.....
sices	.....-.-.....
sich	.....-.-.....
sickees	.....-.-.-.-.....
sidelines	.....-....-....-.....
sie	......
sienese	......-......
sigh	.....--.....
simois	.....-----.....
sines	.....-.....
sinh	.....-.....
sirees	......-......
siris	......-......
sirrees	......-..-......
sis	........
sise	.........
sises	............
sish	............
sisi	..........
siss	...........
sissie	..............
sissies	.................
sithe	.....-.....
skas	...-.-.-...
skirts	...-.-...-.-...
skokie	...-.-----.-...
skuas	...-.-..-.-...
skulks	...-.-..-.-..-.-...
slaves	....-...-...-....
slee	....-....
sleeves	....-.......-....
sliders	....-....-....-....
slues	....-....-....
smarms	...--.-.-.--...
smb	...---...
smews	...--..--...
smoos	...--------...
sms	...--...
smuts	...--..--...
sneb	...-..-...
snee	...-...
snellville	...-...-...-.....-...-...-...
snib	...-...-...
sniddle	...-...-..-...-...
snide	...-...-...
snits	...-...-...
snooks	...-.-------.-...
sob	...----...
somni	...------...
soni	...----...
soogee	...--------...
soots	...-------...
sopranos	...---.--..-..--.---...
sos	...---...
sotie	...----...
sotos	...-------...
sots	...----...
sottie	...-----...
spans	....--..--....
spates	....--..--....
spath	....--..--....
speans	....--...--....
sps	....--....
squab	...--.-..-.--...
squats	...--.-..-.--...
srs	....-....
ss	......
sse	.......
ssi	........
sss	.........
ssttss	......--......
stacee	...-.--.-...
staci	...-.--.-...
stale	...-.-.-...
staree	...-.-.-...
starkle	...-.-.-.-.-.-...
starks	...-.-.-.-.-...
startle	...-.-.-.-.-...
starts	...-.-.-.-...
stb	...--...
steele	...-...-...
steffi	...-...-...-...
stele	...-..-...
stemmas	...-.----.-...
steri	...-..-...
stets	...-.-...
stevie	...-....-...
sthenius	...-.....-.....-...
stib	...-..-...
stile	...-...-...
stillas	...-...-...-...-...
stob	...-----...
stomatode	...------.------...
stomode	...----------...
stree	...-.-...
streeks	...-.-...-.-...
sts	...-...
sttos	...-----...
subcutis	.....--...-.-...--.....
subheads	.....--.........--.....
suds	.....--.....
sugh	.....---.....
surds	.....-.-.-.....
sures	.....-.-.....
susi	.....-.....
suspires	.....-....--....-.....
suttees	.....---.....
suzie	.....---.....
swaggie	....--.---.--....
swamps	....--.---.--....
swans	....--.--....
swaps	....--.-.--....
swath	....--.--....
sweath	....--..--....
sweeps	....--...--....
swigs	....--..--....
swoons	....---------....
swoose	....--------....
sxs	...-..-...
sycee	...-.---.-...
t	-
ta	-.-
taa	-.-.-
tadema	-.--...--.-
taffeta	-.-..-...-..-.-
taft	-.-..-.-
tahua	-.-......-.-
taint	-.-..-.-
tak	-.--.-
tama	-.---.-
tamaroa	-.---.-.-.---.-
tamma	-.-----.-
tanak	-.--..--.-
tanya	-.--.-.--.-
tapotement	-.-.--.----.--.-.-
tart	-.-.-.-
task	-.-...-.-
tathata	-.--.....--.-
tatta	-.---.-
tcm	--.-.--
tdm	--..--
tea	-..-
teck	-.-.-.-.-
tecta	-.-.-.-.-
teena	-..-..-
teenet	-..-..-
teest	-.....-
teet	-..-
teju	-..---..-
telex	-..-...-..-
tellt	-..-...-..-
telt	-..-..-
tema	-.--.-
temiak	-.--...--.-
tempt	-.--.--.-
tenent	-.-..-.-
tent	-.-.-
tentwork	-.-.-.-----.-.-.-
tepa	-..--..-
tera	-..-..-
tercet	-..-.-.-..-
terena	-..-..-..-
teresina	-..-.......-..-
terina	-..-...-..-
terna	-..-.-..-
terra	-..-..-..-
terrena	-..-..-..-..-
terret	-..-..-..-
tersina	-..-......-..-
tescaria	-....-.-..-.-....-
tessa	-........-
test	-....-
tet	-.-
teufit	-...-..-...-
tewit	-..--..-
tfx	-..-.-..-
tha	-.....-
thalia	-.....-.-.....-
thanatist	-.....--..--.....-
thea	-......-
thebit	-.....-.....-
theet	-......-
theia	-........-
theist	-..........-
thematist	-.....--.--.....-
theresa	-......-......-
thessa	-............-
thewiest	-......--......-
thia	-.......-
thissa	-.............-
tia	-...-
tica	-..-.-..-
ticca	-..-.-.-.-..-
tienda	-...-.-...-
tiga	-..--..-
tila	-...-...-
tilda	-...-..-...-
tilla	-...-...-...-
tilleda	-...-...-...-...-
tillet	-...-...-...-
tilletia	-...-...-...-...-
tina	-..-..-
tineina	-..-....-..-
tinnet	-..-.-..-
tioga	-..-----..-
tiona	-..----..-
tiou	-..---..-
tipit	-...--...-
tirrit	-...-..-...-
tisa	-......-
tisha	-..........-
tissu	-..........-
tit	-..-
tiu	-....-
tiv	-.....-
tkt	--.--
tm	---
tmo	------
to	----
tokyo	-----.--.-----
tom	------
too	-------
toom	---------
toot	--------
tootmoot	-----------------
topknot	----.--.-.--.----
torot	----.-.----
torto	----.-.----
tot	-----
toto	--------
toyo	-----.-----
tpt	-.--.-
traik	-.-..-..-.-
transigent	-.-..--......--..-.-
trek	-.-..-.-
trent	-.-..-.-
treva	-.-.....-.-
trevet	-.-.....-.-
trident	-.-...-...-.-
trient	-.-....-.-
trista	-.-......-.-
trivet	-.-......-.-
tronk	-.-.----.-.-
trt	-.-.-
tryck	-.-.-.---.-.-.-
tsamba	-....----....-
tsia	-......-
tsst	-......-
tst	-...-
tt	--
tu	-..-
tufa	-..-..-..-
tuna	-..--..-
tunga	-..--.--..-
tura	-..-.-..-
turku	-..-.-.-.-..-
tutu	-..--..-
tux	-..--..-
tv	-...-
twa	-.--.-
twant	-.--.--.-
tweak	-.--..--.-
txt	--..--
ty	--.--
tyty	--.----.--
ud	..--..
uel	..-..-..
ui	..-..
uid	..-..-..
uil	..-...-..
ul	..-.-..
uleki	..-.-...-.-..
ulnare	..-.-..-..-.-..
ultranatural	..-.-..-.-..--..--..-.-..-.-..
umbone	..----...----..
uncharge	..--.-.-......-.-.--..
unctad	..--.-.-.-.--..
une	..--..
unedge	..--..-..--..
unhad	..--......--..
unhead	..--.......--..
unmad	..--.--.--..
unsad	..--.....--..
unsane	..--.....--..
unsiege	..--.......--..
uphand	..-.--......--.-..
upsetted	..-.--.....--.-..
upwound	..-.--..-----..--.-..
ural	..-.-..-.-..
urare	..-.-..-.-..
urd	..-.-.-..
ure	..-.-..
ureal	..-.-...-.-..
ureteral	..-.-..-..-..-.-..
urethral	..-.-..-.....-..-.-..
urial	..-.-....-.-..
ursal	..-.-.....-.-..
usd	..-...-..
used	..-....-..
usine	..-.....-..
usl	..-....-..
uti	..--..
vaas	...-.-.-...
vafb	...-.-..-.-...
vale	...-.-.-...
vanni	...-.--.-...
vari	...-.-.-...
varkas	...-.-.-.-.-.-...
vas	...-.-...
vasari	...-.-....-.-...
vb	...--...
vde	...--...
veenas	...-..-..-...
vei	...-...
veinlets	...-...-..-...-...
veldts	...-..-..-..-...
vents	...-.-.-...
venule	...-.-...-.-...
veri	...-..-...
vermetus	...-..-.--.-..-...
vernicle	...-..-.-...-.-..-...
verras	...-..-..-..-...
vertus	...-..-.-..-...
vessets	...-........-...
vestible	...-....-..-....-...
vestie	...-....-...
vests	...-....-...
vets	...-.-...
vgi	...---...
vias	...-...-...
victus	...-..-.-.-..-...
vide	...-..-...
vie	...-...
viewable	...-....--.--....-...
vigas	...-..--..-...
viggle	...-..--.--..-...
vilas	...-...-...-...
vile	...-...-...
villas	...-...-...-...-...
ville	...-...-...-...
vinas	...-..-..-...
vincas	...-..-.-.-..-...
virus	...-...-...-...
visas	...-......-...
visile	...-........-...
visits	...-.......-...
vitus	...-..-..-...
vivie	...-.....-...
vmos	...------...
vms	...---...
vri	...-.-...
vs	...-...
vsb	...-...-...
vts	...--...
waeg	.--.-.--.
wafting	.--.-..-.-..-.--.
wairing	.--.-...-...-.--.
waiting	.--.-..-..-.--.
wakeman	.--.--.-.--.--.
wamp	.--.---.--.
wan	.--.--.
wang	.--.--.--.
wap	.--.-.--.
washing	.--.-.........-.--.
washup	.--.-.........-.--.
wattman	.--.-----.--.
waup	.--.-..-.--.
wavering	.--.-...-..-...-.--.
wayan	.--.--.--.--.
wayang	.--.--.--.--.--.
we	.--.
wean	.--..--.
webeye	.--.-....-.--.
wedeling	.--.-....-....-.--.
weep	.--...--.
weig	.--...--.
wg	.----.
whan	.--.....--.
wheep	.--.......--.
whig	.--......--.
whip	.--.......--.
whisp	.--..........--.
whun	.--......--.
whute	.--......--.
wig	.--..--.
wigan	.--..--..--.
willette	.--...-...-...--.
wime	.--..--.
wintertime	.--..-.-..-.-..--.
wintun	.--..-.-..--.
wip	.--...--.
wisp	.--......--.
witte	.--..--.
woe	.-----.
woesome	.-----....-----.
wog	.-------.
won	.------.
woon	.---------.
wooton	.-------------.
worton	.-----.-.-----.
wosome	.-----...-----.
wote	.------.
wotton	.-----------.
wp	.--.--.
wrap	.--.-..-.--.
wrecking	.--.-..-.-.-.-..-.--.
wring	.--.-...-.--.
writeup	.--.-...-...-.--.
wsan	.--....--.
wsp	.--....--.
wun	.--..--.
wyn	.---.---.
wyte	.---.---.
x	-..-
xena	-..-.-..-
xina	-..-..-..-
xix	-..-..-..-
xoanona	-..----.--.----..-
xu	-..-..-
xx	-..--..-
xxx	-..--..--..-
ya	-.--.-
yahiya	-.--.-......-.--.-
yak	-.--.--.-
yaya	-.--.--.--.-
yesima	-.--......--.-
yet	-.--.-
yetta	-.--.--.-
yeuk	-.--...--.-
yma	-.----.-
yok	-.------.-
yont	-.------.-
yook	-.---------.-
yuk	-.--..--.-
yulma	-.--..-.-..--.-
yumuk	-.--..---..--.-
yurak	-.--..-.-..--.-
zagut	--...---...--
zat	--...--
zeism	--........--
zim	--....--
